event_type,gap_direction,fill_path_type,vol_state,macro_state,dp_state,open_regime_label,setup_dir,key_source,n,fill_rate,direct_fill_rate,failed_fill_rate,avg_time_to_fill_minutes,median_time_to_fill_minutes,avg_MAE_pct,median_MAE_pct,avg_MFE_pct,median_MFE_pct,payoff_ratio,expectancy,sortino_ratio,max_drawdown,stop_out_rate_proxy,sample_quality,tradability_score,build_ts,sample_bucket,sample_weight,sample_cap,path_quality_score,risk_quality_score,expectancy_quality_score,tradability_quality_score,fill_quality_score,raw_confidence_score,confidence_score,confidence_label,deployment_ready,deployment_tier,confidence_notes,confidence_ts,confidence_version
UNCLASSIFIED,UP,UNKNOWN,mid,UNKNOWN,low,NO_SETUP,NONE,UNKNOWN,42,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,SUPPORTED,1.0,100.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,41.049668874172184,41.05,LOW,0,WATCHLIST_ONLY,confidence acceptable but monitor sample/risk stability,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,UP,UNKNOWN,low,UNKNOWN,low,NO_SETUP,NONE,UNKNOWN,33,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,DEVELOPING,0.9082951062292475,80.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,39.21557099875714,39.22,LOW,0,WATCHLIST_ONLY,confidence acceptable but monitor sample/risk stability,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,UP,UNKNOWN,unknown,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,31,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,DEVELOPING,0.8803408430829505,80.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,38.6564857358312,38.66,LOW,0,WATCHLIST_ONLY,confidence acceptable but monitor sample/risk stability,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,UP,UNKNOWN,mid,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,27,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,DEVELOPING,0.8215838362577492,80.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,37.48134559932717,37.48,LOW,0,WATCHLIST_ONLY,confidence acceptable but monitor sample/risk stability,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,DOWN,UNKNOWN,mid,UNKNOWN,low,NO_SETUP,NONE,UNKNOWN,23,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,DEVELOPING,0.758287544405155,80.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,36.21541976227528,36.22,LOW,0,WATCHLIST_ONLY,confidence acceptable but monitor sample/risk stability,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,DOWN,UNKNOWN,mid,low,low,NO_SETUP,NONE,UNKNOWN,22,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,DEVELOPING,0.7416198487095663,80.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,35.88206584836351,35.88,LOW,0,WATCHLIST_ONLY,confidence acceptable but monitor sample/risk stability,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,UP,UNKNOWN,high,UNKNOWN,low,NO_SETUP,NONE,UNKNOWN,19,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,BOOTSTRAP,0.689202437604511,55.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,34.833717626262406,34.83,NO_CONFIDENCE,0,PROBE_ONLY,bootstrap sample: probe/research only,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,DOWN,UNKNOWN,mid,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,17,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,BOOTSTRAP,0.6519202405202649,55.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,34.08807368457748,34.09,NO_CONFIDENCE,0,PROBE_ONLY,bootstrap sample: probe/research only,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,DOWN,UNKNOWN,high,UNKNOWN,low,NO_SETUP,NONE,UNKNOWN,14,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,BOOTSTRAP,0.5916079783099616,55.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,32.881828440371415,32.88,NO_CONFIDENCE,0,PROBE_ONLY,bootstrap sample: probe/research only,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
UNCLASSIFIED,DOWN,UNKNOWN,low,UNKNOWN,low,UNKNOWN,UNKNOWN,UNKNOWN,14,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,BOOTSTRAP_OK,0.0,2026-06-01T03:15:24.269056+00:00,BOOTSTRAP,0.5916079783099616,55.0,0.45,0.44999999999999996,0.0,0.5033112582781457,0.0,32.881828440371415,32.88,NO_CONFIDENCE,0,PROBE_ONLY,bootstrap sample: probe/research only,2026-06-01T03:15:24.601529+00:00,sharpedge_2_1_confidence_weights_v1
