session,action,reason,direction,fwd_return_pct,signed_return_pct
2026-02-04,stand_down,positive gamma / sticky chop - no directional edge,,0.541,
2026-02-05,stand_down,positive gamma / sticky chop - no directional edge,,-0.778,
2026-02-06,stand_down,positive gamma / sticky chop - no directional edge,,0.39,
2026-02-09,stand_down,positive gamma / sticky chop - no directional edge,,-0.112,
2026-02-10,stand_down,positive gamma / sticky chop - no directional edge,,-0.384,
2026-02-11,stand_down,positive gamma / sticky chop - no directional edge,,-0.172,
2026-02-12,stand_down,positive gamma / sticky chop - no directional edge,,-0.39,
2026-02-13,stand_down,positive gamma / sticky chop - no directional edge,,-0.326,
2026-02-17,stand_down,positive gamma / sticky chop - no directional edge,,0.148,
2026-02-18,stand_down,positive gamma / sticky chop - no directional edge,,-0.311,
2026-02-19,stand_down,positive gamma / sticky chop - no directional edge,,0.128,
2026-02-20,stand_down,positive gamma / sticky chop - no directional edge,,0.456,
2026-02-23,stand_down,positive gamma / sticky chop - no directional edge,,0.106,
2026-02-24,stand_down,positive gamma / sticky chop - no directional edge,,0.082,
2026-02-25,stand_down,positive gamma / sticky chop - no directional edge,,0.374,
2026-02-26,stand_down,positive gamma / sticky chop - no directional edge,,0.288,
2026-02-27,stand_down,positive gamma / sticky chop - no directional edge,,0.041,
2026-03-02,stand_down,positive gamma / sticky chop - no directional edge,,-0.071,
2026-03-03,stand_down,positive gamma / sticky chop - no directional edge,,0.779,
2026-03-04,stand_down,positive gamma / sticky chop - no directional edge,,-0.083,
2026-03-05,stand_down,positive gamma / sticky chop - no directional edge,,0.037,
2026-03-06,stand_down,positive gamma / sticky chop - no directional edge,,-0.335,
2026-03-09,stand_down,positive gamma / sticky chop - no directional edge,,1.363,
2026-03-10,stand_down,positive gamma / sticky chop - no directional edge,,-0.497,
2026-03-11,stand_down,positive gamma / sticky chop - no directional edge,,0.144,
2026-03-12,stand_down,positive gamma / sticky chop - no directional edge,,-0.413,
2026-03-13,stand_down,positive gamma / sticky chop - no directional edge,,-0.226,
2026-03-16,stand_down,positive gamma / sticky chop - no directional edge,,-0.209,
2026-03-17,stand_down,positive gamma / sticky chop - no directional edge,,-0.171,
2026-03-18,stand_down,positive gamma / sticky chop - no directional edge,,-0.97,
2026-03-19,stand_down,positive gamma / sticky chop - no directional edge,,0.38,
2026-03-20,stand_down,positive gamma / sticky chop - no directional edge,,-0.371,
2026-03-23,stand_down,positive gamma / sticky chop - no directional edge,,-0.596,
2026-03-24,stand_down,positive gamma / sticky chop - no directional edge,,0.18,
2026-03-25,stand_down,positive gamma / sticky chop - no directional edge,,-0.1,
2026-03-26,stand_down,positive gamma / sticky chop - no directional edge,,-0.801,
2026-03-27,stand_down,positive gamma / sticky chop - no directional edge,,-1.08,
2026-03-30,stand_down,positive gamma / sticky chop - no directional edge,,-0.709,
2026-04-01,stand_down,positive gamma / sticky chop - no directional edge,,-0.139,
2026-04-06,stand_down,positive gamma / sticky chop - no directional edge,,0.14,
2026-04-07,stand_down,positive gamma / sticky chop - no directional edge,,1.095,
2026-04-08,stand_down,positive gamma / sticky chop - no directional edge,,0.443,
2026-04-09,stand_down,positive gamma / sticky chop - no directional edge,,-0.007,
2026-04-10,stand_down,positive gamma / sticky chop - no directional edge,,-0.166,
2026-04-13,stand_down,positive gamma / sticky chop - no directional edge,,0.938,
2026-04-14,stand_down,positive gamma / sticky chop - no directional edge,,0.279,
2026-04-15,stand_down,positive gamma / sticky chop - no directional edge,,0.284,
2026-04-16,stand_down,positive gamma / sticky chop - no directional edge,,0.103,
2026-04-17,stand_down,positive gamma / sticky chop - no directional edge,,-0.085,
2026-04-20,stand_down,positive gamma / sticky chop - no directional edge,,0.146,
2026-04-21,stand_down,positive gamma / sticky chop - no directional edge,,0.018,
2026-04-22,stand_down,positive gamma / sticky chop - no directional edge,,0.161,
2026-04-23,stand_down,positive gamma / sticky chop - no directional edge,,-0.444,
2026-04-24,stand_down,positive gamma / sticky chop - no directional edge,,0.101,
2026-04-27,stand_down,positive gamma / sticky chop - no directional edge,,0.212,
2026-04-28,stand_down,positive gamma / sticky chop - no directional edge,,0.238,
2026-04-29,stand_down,positive gamma / sticky chop - no directional edge,,0.16,
2026-04-30,stand_down,positive gamma / sticky chop - no directional edge,,0.62,
2026-05-01,stand_down,positive gamma / sticky chop - no directional edge,,-0.595,
2026-05-04,stand_down,positive gamma / sticky chop - no directional edge,,-0.072,
2026-05-05,stand_down,positive gamma / sticky chop - no directional edge,,0.124,
2026-05-06,stand_down,positive gamma / sticky chop - no directional edge,,0.395,
2026-05-07,stand_down,positive gamma / sticky chop - no directional edge,,-0.53,
2026-05-08,stand_down,positive gamma / sticky chop - no directional edge,,0.099,
2026-05-11,stand_down,positive gamma / sticky chop - no directional edge,,-0.218,
2026-05-12,stand_down,positive gamma / sticky chop - no directional edge,,0.72,
2026-05-15,stand_down,positive gamma / sticky chop - no directional edge,,-0.316,
2026-05-18,stand_down,positive gamma / sticky chop - no directional edge,,0.274,
2026-05-19,stand_down,positive gamma / sticky chop - no directional edge,,0.147,
2026-05-20,stand_down,positive gamma / sticky chop - no directional edge,,0.073,
2026-05-21,stand_down,positive gamma / sticky chop - no directional edge,,0.532,
2026-05-27,stand_down,positive gamma / sticky chop - no directional edge,,0.298,
2026-05-29,stand_down,positive gamma / sticky chop - no directional edge,,-0.18,
2026-06-01,stand_down,positive gamma / sticky chop - no directional edge,,0.328,
2026-06-02,stand_down,positive gamma / sticky chop - no directional edge,,0.039,
2026-06-03,stand_down,positive gamma / sticky chop - no directional edge,,-0.233,
2026-06-04,stand_down,positive gamma / sticky chop - no directional edge,,0.12,
2026-06-08,stand_down,positive gamma / sticky chop - no directional edge,,-0.596,
2026-06-10,stand_down,positive gamma / sticky chop - no directional edge,,-0.171,
