event_type,gap_direction,fill_path_type,vol_state,open_regime_label,n,fill_rate,direct_fill_rate,failed_fill_rate,avg_time_to_fill_minutes,median_time_to_fill_minutes,avg_MAE_pct,median_MAE_pct,avg_MFE_pct,median_MFE_pct,payoff_ratio,expectancy,sortino_ratio,max_drawdown,stop_out_rate_proxy,sample_quality,tradability_score,build_ts
UNCLASSIFIED,UP,UNKNOWN,high,NO_SETUP,29,0.41379310344827586,0.0,0.0,72.49999998137355,82.50000011175871,0.006545330322381064,0.005735623722015452,0.004677990238312206,0.002728989790164428,21977.948172178076,71.48892095555155,1.3459311606203389e+20,-0.010884281909511628,0.39836919147263977,BOOTSTRAP_OK,332539.0587951762,2026-05-25T22:18:59.894637+00:00
UNCLASSIFIED,DOWN,UNKNOWN,high,NO_SETUP,22,0.7272727272727273,0.0,0.0,111.56249984633178,52.49999988824129,0.0066357334305168015,0.002985800553184908,0.00805835266469817,0.009276232729852549,11455.893932002731,19.161054164015642,,-0.0017522481330729534,0.2772597772597773,BOOTSTRAP_OK,172622.96660744908,2026-05-25T22:18:59.894637+00:00
CLEAN_BREAKOUT,DOWN,UNKNOWN,high,ACCEPTED_BREAKOUT_OPEN_STRONG,1,1.0,0.0,0.0,75.00000022351742,75.00000022351742,0.0007295769285527566,0.0007295769285527566,0.10708494912685607,0.10708494912685607,,146.77677560237242,,0.0,0.0,LOW_SAMPLE,5896.063728325612,2026-05-25T22:18:59.894637+00:00
CLEAN_BREAKDOWN,DOWN,UNKNOWN,high,NO_SETUP,5,0.2,0.0,0.0,405.0,405.0,0.013737310638321159,0.012868540632213056,0.004853339661383078,0.005209984635680284,370.9059335311328,0.40584040510882174,,0.0,0.6,BOOTSTRAP_OK,5584.685246064962,2026-05-25T22:18:59.894637+00:00
CLEAN_BREAKOUT,UP,UNKNOWN,low,NO_SETUP,10,0.2,0.0,0.0,97.50000022351742,97.50000022351742,0.005707653003769831,0.006224749269460504,0.0016010239552462155,0.0013939622015519122,246.65038902362343,0.5816672021647126,,0.0,0.6085648148148148,BOOTSTRAP_OK,3727.9654469109023,2026-05-25T22:18:59.894637+00:00
CLEAN_BREAKDOWN,UP,UNKNOWN,mid,UNRESOLVED_OPEN,1,1.0,0.0,0.0,315.0,315.0,0.0002656022438770377,0.0002656022438770377,0.016903322240192774,0.016903322240192774,,63.64148884230917,,0.0,0.0,LOW_SAMPLE,2570.656897669928,2026-05-25T22:18:59.894637+00:00
UNCLASSIFIED,UP,UNKNOWN,mid,NO_SETUP,64,0.609375,0.0,0.0,95.38461544192754,90.0,0.0036077786631791434,0.003279361661966644,0.0037625660892448326,0.0032440562515728497,,32.72490728125263,,0.0,0.26344818376068374,BOOTSTRAP_OK,1324.1945884634733,2026-05-25T22:18:59.894637+00:00
CLEAN_BREAKOUT,DOWN,UNKNOWN,high,NO_SETUP,2,1.0,0.0,0.0,112.5,112.5,0.003557167706555369,0.003557167706555369,0.015968491418509076,0.015968491418509076,,30.772670169476864,,0.0,0.057692307692307696,LOW_SAMPLE,1255.871235102009,2026-05-25T22:18:59.894637+00:00
CLEAN_BREAKOUT,DOWN,UNKNOWN,low,NO_SETUP,3,1.0,0.0,0.0,160.00000029802322,165.00000022351742,0.0006938658005109984,0.00012060695178818724,0.007543968265478314,0.007671379793603065,,26.79167772126202,,0.0,0.0,BOOTSTRAP_OK,1096.6601701924758,2026-05-25T22:18:59.894637+00:00
CLEAN_BREAKDOWN,UP,UNKNOWN,low,NO_SETUP,4,1.0,0.0,0.0,63.750000055879354,82.50000011175871,0.0009339646454864376,0.000553903491923594,0.007328391913165979,0.007232501963887267,,25.660050989115817,,0.0,0.0,BOOTSTRAP_OK,1051.3926999181776,2026-05-25T22:18:59.894637+00:00
