date,symbol,open,high,low,close,volume,prev_close,ret_1d,gap_open_pct,gap_abs_pct,intraday_range_pct,true_range_pct,vol20,cluster_score,trigger_gap_15,trigger_range_15,trigger_tr_15,trigger_any_15,trigger_cluster,compression_flag,label_next_day_expansion,permission_strength,permission_reason,trade_permission,day_type,feature_ts,feature_version
2024-05-29,WMT,64.75,65.20999908447266,64.6500015258789,64.91999816894531,11538600.0,65.04000091552734,-0.0018450606533337854,-0.004458808601555675,0.004458808601555675,0.008625963869198422,0.008625963869198422,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-05-30,WMT,64.93000030517578,65.16999816894531,64.7699966430664,64.88999938964844,13051900.0,64.91999816894531,-0.00046208841871508977,0.00015406864621958505,0.00015406864621958505,0.00616430158177373,0.00616430158177373,,0.0,0,0,0,0,0.0,0,0,0,none,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-05-31,WMT,64.66999816894531,65.9000015258789,64.16000366210938,65.76000213623047,27632200.0,64.88999938964844,0.013407347122287305,-0.0033903717486891694,0.0033903717486891694,0.02645982066978796,0.02645982066978796,,0.1,0,1,1,1,1.0,0,0,1,trigger,0,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-03,WMT,65.51000213623047,65.83999633789062,65.16000366210938,65.81999969482422,11578700.0,65.76000213623047,0.0009123716034780127,-0.0038017030395177676,0.0038017030395177676,0.010331095091675024,0.010331095091675024,,0.1,0,0,0,0,1.0,0,0,0,none,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-04,WMT,65.98999786376953,66.63999938964844,65.83000183105469,66.5999984741211,14780800.0,65.81999969482422,0.011850482876228474,0.0025827737729187117,0.0025827737729187117,0.012162125783058276,0.01231230801218183,,0.1,0,0,0,0,1.0,0,0,0,none,0,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-05,WMT,66.56999969482422,67.1500015258789,66.27999877929688,67.08999633789062,14982700.0,66.5999984741211,0.0073573254503891405,-0.00045043213189455145,0.00045043213189455145,0.012967697034895753,0.012967697034895753,,0.1,0,0,0,0,1.0,0,0,0,none,0,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-06,WMT,67.05999755859375,67.44000244140625,66.7699966430664,67.1500015258789,13256000.0,67.08999633789062,0.0008943984388680715,-0.0004471423600291846,0.0004471423600291846,0.009977748073194466,0.009977748073194466,,0.1,0,0,0,0,1.0,0,0,0,none,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-07,WMT,67.4000015258789,67.56999969482422,65.63999938964844,65.87999725341797,20213200.0,67.1500015258789,-0.018912944804200693,0.003723008106018444,0.003723008106018444,0.029295694985409997,0.029295694985409997,,0.2,0,1,1,1,2.0,0,0,1,trigger,0,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-10,WMT,67.19000244140625,67.33000183105469,66.2699966430664,66.95999908447266,21659500.0,65.87999725341797,0.016393471100192736,0.01988471831516825,0.01988471831516825,0.015830424170870182,0.02165478789519518,,0.3,1,1,1,1,3.0,0,0,2,"cluster,trigger",1,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-11,WMT,66.94999694824219,66.95999908447266,66.3499984741211,66.7300033569336,13367500.0,66.95999908447266,-0.0034348227401991283,-0.00014937479640420026,0.00014937479640420026,0.009141324436756233,0.009141324436756233,0.01027065721123197,0.3,0,0,0,0,3.0,0,0,1,cluster,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-12,WMT,66.8499984741211,66.94000244140625,65.9000015258789,66.30999755859375,11704700.0,66.7300033569336,-0.006294107256270665,0.0017982183598230783,0.0017982183598230783,0.015683923296911057,0.015683923296911057,0.010107181165333243,0.4,0,1,1,1,4.0,0,0,2,"cluster,trigger",1,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-13,WMT,66.30000305175781,66.76000213623047,65.94999694824219,66.69999694824219,11196600.0,66.30999755859375,0.00588145685428243,-0.00015072398135895781,0.00015072398135895781,0.01214400637254644,0.01214400637254644,0.009708366092815378,0.4,0,0,0,0,4.0,0,0,1,cluster,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-14,WMT,66.54000091552734,67.11000061035156,66.30000305175781,67.0199966430664,12590100.0,66.69999694824219,0.004797596843558072,-0.002398741229913348,0.002398741229913348,0.012085908671521081,0.012085908671521081,0.00932410816913397,0.3,0,0,0,0,3.0,0,0,1,cluster,0,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-17,WMT,66.91999816894531,67.44000244140625,66.41000366210938,67.41999816894531,12103000.0,67.0199966430664,0.0059683907179111095,-0.0014920692200816044,0.0014920692200816044,0.015277348075801465,0.015277348075801465,0.009010369397856608,0.4,0,1,1,1,4.0,0,0,2,"cluster,trigger",1,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-18,WMT,67.62999725341797,67.87000274658203,67.30000305175781,67.5999984741211,12093500.0,67.41999816894531,0.002669835509706342,0.0031147892342926475,0.0031147892342926475,0.008431948338614657,0.008431948338614657,0.008682623824427853,0.4,0,0,0,0,4.0,0,0,1,cluster,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-20,WMT,67.3499984741211,68.12999725341797,67.30000305175781,68.01000213623047,13860800.0,67.5999984741211,0.006065143067515599,-0.0036982249355479446,0.0036982249355479446,0.01220400199367145,0.01220400199367145,0.008432511483610993,0.4,0,0,0,0,4.0,0,0,1,cluster,0,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-21,WMT,68.26000213623047,68.55000305175781,67.83000183105469,67.91000366210938,25883000.0,68.01000213623047,-0.0014703495218363338,0.003675929894829677,0.003675929894829677,0.010602285110828998,0.010602285110828998,0.008231031783528799,0.4,0,0,0,0,4.0,0,0,1,cluster,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-24,WMT,68.05000305175781,69.04000091552734,67.9000015258789,68.9000015258789,12470400.0,67.91000366210938,0.014578085854557221,0.002061542955364981,0.002061542955364981,0.01654570920757168,0.01654570920757168,0.008471625673946123,0.4,0,1,1,1,4.0,0,0,2,"cluster,trigger",1,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-25,WMT,67.16999816894531,67.58999633789062,66.55000305175781,67.41999816894531,20869200.0,68.9000015258789,-0.021480454632177404,-0.025108901576494147,0.025108901576494147,0.015425590542538005,0.03485610409291792,0.009997489255763077,0.4,1,1,1,1,4.0,0,0,2,"cluster,trigger",1,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-26,WMT,67.4000015258789,68.5999984741211,67.20999908447266,68.29000091552734,14177500.0,67.41999816894531,0.01290422382394496,-0.0002965980956614045,0.0002965980956614045,0.020354361854055685,0.020354361854055685,0.01003489205472018,0.5,0,1,1,1,5.0,0,0,2,"cluster,trigger",1,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-27,WMT,68.29000091552734,68.58000183105469,67.66999816894531,67.87999725341797,12899200.0,68.29000091552734,-0.0060038608377899205,0.0,0.0,0.013406065099148975,0.013406065099148975,0.010171585966076818,0.4,0,0,0,0,4.0,0,0,1,cluster,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-06-28,WMT,67.87000274658203,68.0999984741211,67.31999969482422,67.70999908447266,18816700.0,67.87999725341797,-0.0025043926903923763,-0.00014723787920356557,0.00014723787920356557,0.011519698565108167,0.011519698565108167,0.01021075095334229,0.4,0,0,0,0,4.0,0,0,1,cluster,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-07-01,WMT,67.88999938964844,68.23999786376953,67.25,67.4800033569336,8666000.0,67.70999908447266,-0.003396776408933766,0.00265840064406464,0.00265840064406464,0.014670981246591901,0.014670981246591901,0.009925571681620967,0.4,0,0,0,0,4.0,0,0,1,cluster,0,range,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-07-02,WMT,67.44000244140625,68.08000183105469,67.26000213623047,68.06999969482422,9436500.0,67.4800033569336,0.008743276652934506,-0.0005927817655217993,0.0005927817655217993,0.012046418370802026,0.012046418370802026,0.010061394421238297,0.3,0,0,0,0,3.0,0,0,1,cluster,0,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-07-03,WMT,67.80999755859375,68.25,67.62000274658203,68.23999786376953,6287500.0,68.06999969482422,0.002497402228697876,-0.0038196288731618955,0.0038196288731618955,0.009232081962775843,0.009232081962775843,0.0097796722970014,0.3,0,0,0,0,3.0,0,0,1,cluster,0,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
2024-07-05,WMT,68.16000366210938,70.1500015258789,68.0999984741211,70.04000091552734,21586100.0,68.23999786376953,0.02637753675419563,-0.0011722480094423782,0.0011722480094423782,0.02926903233810984,0.02926903233810984,0.011221975750372079,0.4,0,1,1,1,4.0,0,0,2,"cluster,trigger",1,trend,2026-06-22T23:52:39.296804+00:00,v1_clean_daily_features_orb_trend
